"X","A.1","A.2","A.3","L.1","L.2","L.3","FD_AGG....1","FD_AGG....2","FD_AGG....3","X_diag.1","X_diag.2","X_diag.3","A_water.1","A_water.2","A_water.3","L_water.1","L_water.2","L_water.3","X_water....1","X_water....2","X_water....3","BL_water","FL_water","W_balance.1","W_balance.2","W_balance.3","direct_WF","year"
2,0.224340783625176,0.351062471793563,0.351088683300626,0.370459071814999,1.55725218338122,0.550357704938663,137722.213923644,85015.9579204958,47127.3220204335,0,426139.323040374,0,0,0.00649434129200103,0,0.00240588764708452,0.0101133271565914,0.00357421076855408,1420.23083761176,866.204767726415,481.051081714847,0.168103577301531,0.01609342557223,0,2767.49420176646,0,0.0982868516612409,"2013"
3,0.00166089308593935,0.00357021882667251,0.00529545525340311,0.00311082933945965,0.00565314877232446,1.00732496025482,2118.78132574499,878.351935039298,3.28382550486084,0,0,4583.50652967597,0,0,0.794812044701734,0.00247252462801407,0.0044931907347343,0.800634011339228,2335.55781493627,1088.59310709181,218.929078169347,0.866636805846191,0.807599726701976,0,0,3643.02619675551,0.0141824572391794,"2013"
1,0.0584434480505983,0.0264248704663213,0.00479939439818319,1.07439834926241,0.0456097414796702,0.022290084393637,8319.31049773535,1175.64010899695,1728.4557372955,25188.9756652821,0,0,3.74619297482989,0,0,4.02490354817567,0.170862893114948,0.0835029575638083,58776.7689930209,20895.9449903032,14690.3061565239,4.03090601622231,4.27926939885442,94362.763680441,0,0,0.222347905252977,"2014"
2,0.253196543635122,0.375580464625299,0.36330052990159,0.438386477023691,1.62391390549734,0.60743098150871,146920.009198419,94308.2070283525,45260.1995060383,0,471899.306939834,0,0,0.00572829319416301,0,0.00251120627274791,0.00930225497276711,0.0034795427573001,1395.46149804331,882.328658656314,425.368670936096,0.185198361566861,0.0152930040028151,0,2703.17758827369,0,0.104110199786598,"2014"
3,0.00262790628618939,0.00398277427934261,0.0252838758516276,0.00468794190205086,0.00675841970582273,1.02848184400192,2265.4146597086,602.779210994176,1.79509877948383,0,0,4940.26143270447,0,0,0.744732304033904,0.00349126177389142,0.00503321347914551,0.765943653340591,2503.70464216808,940.472717208181,235.213682183355,0.8529261536617,0.774468128593628,0,0,3679.17227930784,0.0388902686486727,"2014"
1,0.0563103299745087,0.0277588941073414,0.00462285229986902,1.07242752518331,0.0482866274554824,0.0234245176801138,9234.2,1452.4,2334.5,28323.4,0,0,3.50887115899316,0,0,3.76301001322614,0.16943155444359,0.0821936145010766,61153.7342701561,22123.2095640694,16105.422338294,3.76865163234434,4.01463518217081,99383.161384627,0,0,0.200726662334706,"2015"
2,0.248126990403694,0.381503023855502,0.37106094460282,0.432939659711567,1.64038574230731,0.625355959961709,154727,97988,43206.4,0,492930.3,0,0,0.00549623111590141,0,0.00237953642901448,0.00901593915895045,0.00343710088565594,1424.91550609391,889.233021505352,395.107488252405,0.183500289002671,0.0148325764736209,0,2709.25885283062,0,0.102454880307974,"2015"
3,0.00245733209995975,0.00408678468335178,0.0234609754218353,0.00451046158092943,0.00698646898319546,1.02670065583005,2308.1,675.9,1.8,0,0,5191.6,0,0,0.723225911728033,0.00326208268918196,0.00505279540013117,0.742536517884455,2525.77513477365,1001.73159700392,227.264996946315,0.828167233271188,0.750851395973768,0,0,3754.69964332726,0.0352280151564032,"2015"
1,0.0583471972294843,0.0291427763100273,0.00566308849632322,1.07489439459882,0.0508487441993241,0.025042220366225,10494.5632683088,1726.08854506368,2552.37372068028,31200.7400992762,0,0,3.29510794242463,0,0,3.54189305691028,0.167552100873511,0.0825168192246958,64121.1691581481,22752.6978993115,15935.313552453,3.54673058941748,3.79196197700849,102809.806510652,0,0,0.194854541374904,"2016"
2,0.238569924965199,0.382086531302332,0.360409094751078,0.417139409766818,1.64175315507252,0.609362215509242,159669.546458203,99040.3420273514,41151.0144916468,0,500248.723549822,0,0,0.00534710896346295,0,0.0022304898769778,0.00877863301128183,0.00325832616454511,1432.89018988047,875.052299824125,366.948220690569,0.180938301147314,0.0142674490528047,0,2674.88443365415,0,0.100766852198343,"2016"
3,0.00185040573116491,0.00378229274577385,0.0251035415434029,0.00365857736045812,0.00646600139101001,1.02816162256064,2394.42613134126,541.216790028867,1.69494394998275,0,0,5013.22046806148,0,0,0.71258371037884,0.00260704263022327,0.00460756726252065,0.732651223873389,2517.32718450999,857.35816761007,197.502017048652,0.81842636926263,0.739865833766133,0,0,3572.33924207839,0.0384760093605927,"2016"
1,0.0580750810865599,0.0287375895338524,0.00560356590557628,1.07450718019891,0.0497051235066197,0.0242241331631691,10416.5247574124,1521.50062964998,2667.25116779739,30740.8170221461,0,0,3.54662197942476,0,0,3.81087078234316,0.1762852835186,0.0859138431090076,68334.165474585,23014.5368681342,17677.5464572356,3.81569124665597,4.07306990897077,109026.057316218,0,0,0.208593987048602,"2017"
2,0.242547004865194,0.376854157006673,0.353133812426089,0.42046089289385,1.62787596159205,0.593142036110472,161190.654956662,97367.861233674,42617.4994297717,0,498315.019704058,0,0,0.00526082782559515,0,0.00221197236491055,0.00856397515536093,0.00312041812810013,1411.55856186268,839.101893701184,370.88086502942,0.189256255769964,0.0138963656483716,0,2621.5495215711,0,0.106497292428294,"2017"
3,0.0020334988850598,0.00391323777193798,0.0268534521968525,0.00393606965905102,0.00664991416634343,1.03003023319605,2590.91323783159,602.621745610121,1.85002636396709,0,0,5351.93153133952,0,0,0.662714884097098,0.0026084919478961,0.00440699709600393,0.682616366609029,2506.13794985959,844.428170270048,196.035557694871,0.771650627846137,0.689631855652929,0,0,3546.80468448727,0.0395276886506858,"2017"
1,0.0573768257708137,0.0270486088132564,0.00546987387507946,1.0729144477205,0.0466467230181263,0.0227475908615266,10750.2681875788,1543.83424530328,2894.74745904738,30774.4460791958,0,0,3.59519880965009,0,0,3.85734074530113,0.167704243068845,0.0817821115877679,68980.5845953954,22803.9330360286,18856.1010148992,3.86225819036293,4.10682709995775,110640.251911566,0,0,0.208984250572873,"2018"
2,0.242375144986569,0.37594637590177,0.34916864608076,0.418952292537574,1.62425933295017,0.58462915977986,162745.106670646,100141.113546901,45853.9740532417,0,509803.425347423,0,0,0.00528360033839172,0,0.00221357647462151,0.00858193716121143,0.00308894682644653,1428.77779872956,864.890019812318,399.930002271178,0.180761902460331,0.0138844604622795,0,2693.5975506789,0,0.101874540632354,"2018"
3,0.00211082273631675,0.00392188191831999,0.0259944464889097,0.00401210610866244,0.0066412519402616,1.02909152730127,2691.20179096755,669.445299366945,2.05036845135358,0,0,5571.59667085545,0,0,0.673927486945753,0.00270386858717058,0.00447572223027411,0.693533066831314,2623.90663580184,916.660584531705,214.478666059018,0.778404125245529,0.700712657648759,0,0,3754.85214266494,0.0390285236180267,"2018"
